#	$Id: observatories.dat,v 2.0 2001/09/14 19:05:06 garyb Exp $	
# File with data on observatories
500    0:00:00     0:00:00    -6378137.  Geocenter
259 +340:46:26.90 +69:27:37.32   58.7 EISCAT Tromso UHF
260 +210:56:02.04 -31:06:22.81 1129.0 Siding Spring Observatory-DSS <http://archive.stsci.edu/dss/>
261 +116:51:35.21 +33:10:51.13 1626.7 Palomar Mountain-DSS <http://archive.stsci.edu/dss/>
262 +70:44:01.46 -29:05:42.25 2293.6 European Southern Observatory, La Silla-DSS
266 +155:28:35.62 +19:42:11.50 4101.4 New Horizons KBO Search-Subaru
267 +155:28:10.42 +19:42:10.64 4118.9 New Horizons KBO Search-CFHT
268 +70:41:31.09 -28:51:04.99 2338.4 New Horizons KBO Search-Magellan/Clay
269 +70:41:27.10 -28:51:06.85 2326.5 New Horizons KBO Search-Magellan/Baade
277 +03:10:57.00 +55:44:45.96   52.7 Royal Observatory, Blackford Hill, Edinburgh
279 +349:16:18.41 +50:44:44.02  287.2 Seeberg Observatory, Gotha (1787-1857)
281 +348:38:52.08 +44:18:14.52   17.4 Bologna
285 +357:37:45.12 +48:30:09.56   60.6 Flammarion Observatory, Juvisy
286 +257:12:42.12 +24:52:41.86 1906.4 Yunnan Observatory
290 +109:53:31.24 +32:31:35.98 3132.6 Mt. Graham-VATT <http://clavius.as.arizona.edu/vo/R1024/VATT.html>
291 +111:35:56.76 +31:47:20.76 1974.6 LPL/Spacewatch II <http://spacewatch.lpl.arizona.edu/>
295 +77:00:00.00 +38:44:54.63  150.3 Catholic University Observatory, Washington
296 +73:44:54.60 +42:28:16.75   60.3 Dudley Observatory, Albany (after 1893)
299 +252:23:02.40 -06:46:48.91 1283.1 Bosscha Observatory, Lembang
300 +226:27:20.02 +34:29:31.66  364.9 Bisei Spaceguard Center-BATTeRS <http://www.spaceguard.or.jp/ja/e_index.html>
301 +71:09:11.88 +45:15:45.10 1054.6 Mont Megantic
302 +71:07:12.00 +08:36:56.33 8762.2 University of the Andes station
303 +70:52:13.44 +08:43:47.41 3618.3 OAN de Llano del Hato, Mérida
304 +70:42:07.20 -28:50:26.53 2219.1 Las Campanas Observatory <http://www.lco.cl/>
305 +250:26:54.96 +34:45:53.93  408.4 Purple Mountain, Hainan Island station
306 +69:19:23.16 +10:00:34.22  583.0 Observatorio Taya Beixo, Barquisimeto
309 +70:24:15.52 -24:28:54.50 2596.3 Cerro Paranal <http://www.eso.org/sci/facilities/paranal/>
319 +243:51:54.00 -31:50:06.87  370.4 Perth Observatory, Perth-Lowell Telescope
320 +243:33:42.84 -30:45:37.72  193.7 Chiro Observatory
321 +244:14:34.44 -31:37:06.23    9.9 Craigie
322 +243:51:57.60 -31:50:09.72  350.1 Perth Observatory, Bickley-MCT <http://www.perthobservatory.wa.gov.au/>
323 +243:51:54.00 -31:50:09.72  350.1 Perth Observatory, Bickley <http://www.perthobservatory.wa.gov.au/>
327 +242:25:30.00 +40:12:15.92  798.3 Peking Observatory, Xinglong Station <http://vega.bac.pku.edu.cn/>
330 +241:10:44.76 +31:53:37.60  306.3 Purple Mountain Observatory, Nanking
333 +110:28:35.04 +31:47:23.95 1210.6 Desert Eagle Observatory <http://www.geocities.com/microplanet333/>
334 +239:40:49.44 +35:53:13.28   30.0 Tsingtao
337 +238:48:56.52 +30:55:33.57   23.2 Sheshan, formerly Zô-Sé
340 +224:30:52.92 +34:37:36.38   37.4 Toyonaka <http://www.asahi-net.or.jp/~eg5y-ezk/>
341 +222:03:05.04 +36:08:43.75  828.8 Akashina
343 +232:52:27.12 +38:00:47.52   62.6 Younchun
344 +231:01:23.88 +35:58:54.15 1078.1 Bohyunsan Optical Astronomy Observatory
345 +231:32:33.00 +36:44:59.70 1288.4 Sobaeksan Optical Astronomy Observatory
346 +232:36:52.56 +36:19:26.49   21.4 KNUE Astronomical Observatory
347 +220:05:29.04 +36:22:45.99   62.0 Utsunomiya-Imaizumi
348 +224:43:59.16 +35:07:35.76    0.7 Ayabe
350 +220:44:11.40 +36:17:53.23  270.0 Kurohone
351 +224:07:55.92 +34:53:15.23   66.9 Sakamoto
352 +223:49:19.92 +34:45:59.82  147.0 Konan
353 +224:56:06.72 +34:33:40.93  112.2 Nishi Kobe
354 +219:58:45.84 +36:40:58.07  710.4 Kawachi
355 +220:47:12.12 +35:12:25.03   82.3 Hadano <http://www001.upp.so-net.ne.jp/asami/>
358 +219:50:29.04 +37:51:30.53  184.2 Nanyo
360 +227:03:20.88 +33:29:49.10  548.0 Kuma Kogen <http://www.town.kuma.ehime.jp/kumaobs/astro_e.html>
362 +219:20:42.00 +42:27:11.15  188.4 Ray Observatory
364 +229:25:31.08 +31:28:23.90  158.8 YCPM Kagoshima Station
365 +224:02:31.56 +34:13:47.82  427.9 Uto Observatory
366 +221:41:58.92 +35:40:47.84  814.6 Miyasaka Observatory
368 +221:11:17.88 +35:37:20.92 1389.7 Ochiai
369 +220:50:60.00 +35:48:23.02  212.7 Chichibu
371 +226:24:12.60 +34:23:39.47  294.1 Tokyo-Okayama
372 +226:10:20.64 +33:20:58.77   78.6 Geisei
373 +224:39:37.08 +33:57:14.27  276.5 Oishi
374 +225:16:49.44 +34:54:49.63  243.8 Minami-Oda Observatory
375 +225:07:45.12 +34:46:12.87  350.5 Uzurano
376 +220:57:38.88 +35:30:27.39  683.2 Uenohara
377 +224:12:24.12 +34:48:50.50  176.4 Kwasan Observatory, Kyoto
378 +223:59:08.88 +34:23:26.28  323.2 Murou
381 +222:22:18.12 +35:36:42.29 1080.2 Tokyo-Kiso
382 +222:26:40.92 +35:55:50.87 2783.4 Tokyo-Norikura
383 +222:06:14.76 +36:34:38.53  619.9 Chirorin
384 +221:49:14.88 +34:38:17.53  221.5 Shimada
385 +221:31:55.20 +34:47:23.39  239.5 Nihondaira Observatory
386 +221:40:41.88 +35:42:29.59 1040.8 Yatsugatake-Kobuchizawa
387 +220:48:20.16 +35:49:23.66  783.8 Tokyo-Dodaira
390 +220:07:39.00 +36:22:19.57   91.9 Utsunomiya
391 +219:13:17.65 +38:04:41.74   53.4 Sendai Observatory, Ayashi Station
392 +218:37:59.88 +42:43:17.36  159.7 JCPM Sapporo Station
398 +220:53:31.20 +35:56:30.35  126.5 Nagatoro
399 +215:24:36.00 +42:53:10.65   60.1 Kushiro
400 +216:13:02.28 +43:33:58.43   93.7 Kitami
402 +223:41:31.92 +35:01:38.14  158.6 Dynic Astronomical Observatory
403 +222:56:39.84 +35:13:53.84   75.7 Kani
407 +219:41:24.36 +38:15:17.72    3.0 Kahoku
408 +221:49:31.08 +35:43:01.44 1751.3 Nyukasa
410 +225:06:32.40 +34:56:48.71  335.0 Sengamine
412 +219:24:03.24 +36:46:32.57  654.5 Iwaki
413 +210:56:02.11 -31:06:23.70 1108.3 Siding Spring Observatory <http://www.aao.gov.au/ukst/>
414 +210:59:32.28 -35:08:21.04  677.4 Mount Stromlo
415 +210:56:11.04 -35:12:55.60  517.3 Kambah
416 +210:51:59.04 -35:07:49.09  525.5 Barton
417 +222:51:46.44 +37:08:57.35  115.4 Yanagida Astronomical Observatory
418 +209:03:34.78 -30:54:41.64  388.3 Tamworth
420 +208:47:42.00 -33:41:01.34    9.8 Sydney
421 +226:14:06.00 +33:34:42.31 1224.0 Mt. Kajigamori, Otoyo
422 +208:57:14.04 -31:09:50.30  773.3 Loomberah <http://www.ozemail.com.au/~loomberah/>
423 +208:52:30.97 -33:37:38.16    3.1 North Ryde
424 +210:56:03.12 -35:04:26.27  546.0 Macquarie
425 +207:04:06.24 -27:18:21.95  103.3 Taylor Range Observatory, Brisbane
426 +223:10:41.88 -31:01:34.70   58.5 Woomera
427 +221:16:18.12 -34:09:15.31   80.3 Stockport <http://www.assa.org.au/>
428 +206:36:10.80 -27:57:02.26   33.2 Reedy Creek
429 +210:57:36.00 -35:04:17.64  591.8 Hawker
430 +210:47:15.72 -31:06:28.18  484.5 Rainbow Observatory, near Coonabarabran
431 +210:14:31.92 -33:15:28.54  823.6 Mt. Tarana Observatory, Bathurst
436 +348:39:51.84 +44:08:08.43  434.9 Osservatorio di Livergnano
437 +75:18:10.44 +39:49:17.71   70.9 Haverford
438 +72:38:16.44 +42:07:32.82  254.2 Smith College Observatory, Northampton
439 +106:44:45.96 +35:41:12.22 2064.5 ROTSE-III, Los Alamos
440 +81:18:56.88 +43:00:00.13  280.2 Elginfield Observatory
442 +02:31:04.08 +41:31:00.48  309.9 Gualba Observatory
444 +116:43:14.16 +33:18:24.42 1279.3 Star Cruiser Observatory
445 +00:34:48.00 +38:37:48.87  200.1 Observatorio d'Ontinyent <http://www.terra.es/personal2/camami/>
446 +97:50:00.24 +29:24:15.12   86.3 Kingsnake Observatory, Seguin
447 +104:47:39.84 +39:25:56.46 1688.4 Centennial Observatory
448 +106:43:11.64 +32:12:49.66 1254.7 Desert Moon Observatory, Las Cruces <http://www.morning-twilight.com/dm448/>
449 +80:20:58.92 +34:12:16.30   39.3 Griffin Hunter Observatory, Bethune
450 +80:39:57.96 +34:58:13.63  153.7 Carla Jane Observatory, Charlotte
451 +97:14:35.16 +37:18:22.35  293.4 West Skies Observatory, Mulvane
453 +117:52:00.84 +34:48:14.69  646.7 Edwards Raven Observatory
454 +76:37:23.59 +39:08:35.76   25.1 Maryland Space Grant Consortium Observatory
456 +01:10:19.92 +52:03:58.14   71.1 Daventry Observatory
457 +341:39:34.92 +48:26:15.13  139.9 Partizanske
458 +04:01:09.84 +40:27:25.63  813.9 Guadarrama Observatory <http://astrosurf.com/blazar/inicio.html>
459 +71:52:58.08 +43:20:55.34  212.6 Smith River Observatory, Danbury
460 +94:00:06.84 +33:48:14.84   99.1 Area 52 Observatory, Nashville
461 +340:06:20.52 +47:43:35.69  861.3 University of Szeged, Piszkéstető Stn. (Konkoly) <http://titan.physx.u-szeged.hu/~sky/jas/>
462 +76:54:56.88 +38:43:59.80   12.9 Mount Belleview Observatory
